"topicName","wiki","event","resource"
"Refinitiv","https://www.wikidata.org/wiki/Q60741469","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"EOS","https://www.wikidata.org/wiki/Q249083","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"TensorFlow","https://www.wikidata.org/wiki/Q21447895","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"AIML","https://www.wikidata.org/wiki/Q223898","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Springer International Publishing","https://www.wikidata.org/wiki/Q21096327","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"C1","https://www.wikidata.org/wiki/Q718147","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"NADP","https://www.wikidata.org/wiki/Q12499775","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"SUM","https://www.wikidata.org/wiki/Q13570696","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"RDF","https://www.wikidata.org/wiki/Q54872","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"UniProt","https://www.wikidata.org/wiki/Q905695","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Google Knowledge Graph","https://www.wikidata.org/wiki/Q648625","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"A2","https://www.wikidata.org/wiki/Q888603","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"BERT","https://www.wikidata.org/wiki/Q840922","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Primer","https://www.wikidata.org/wiki/Q16000421","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Target","https://www.wikidata.org/wiki/Q1046951","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_worksheet04"
"House of Cards","https://www.wikidata.org/wiki/Q3330940","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Transducers","https://www.wikidata.org/wiki/Q215928","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
